tick,angle
0,-89.500000000000
1,-89.500000000000
2,-89.500000000000
3,-89.500000000000
4,-89.500000000000
5,-89.500000000000
6,-89.500000000000
7,-89.500000000000
8,-89.500000000000
9,-89.500000000000
10,-61.174768994565
11,-32.849537989130
12,-32.849537989130
13,-33.354404041939
14,-33.714330368729
15,-33.975615154316
16,-34.166705232474
17,-34.306313730986
18,-34.407370973948
19,-34.479148246682
20,-34.528486907234
21,-34.560551638579
22,-34.579313691594
23,-34.587872739194
24,-34.588678043613
25,-34.583684509972
26,-34.574465323828
27,-34.562294867287
28,-34.548210816371
29,-34.533061358607
30,-34.517541583935
31,-34.502221871556
32,-34.487570274230
33,-34.473970342665
34,-34.461735445152
35,-34.451120364633
36,-34.442330760146
37,-34.435530938049
38,-34.430850274486
39,-34.428388553395
40,-34.428220426445
41,-34.430399157339
42,-34.434959779360
43,-34.441921769094
44,-34.451291319119
45,-34.463063276609
46,-34.477222802398
47,-34.493746795074
48,-34.512605116805
49,-34.533761651216
50,-34.557175218480
51,-34.582800368627
52,-34.610588070637
53,-34.640486312091
54,-34.672440621839
55,-34.706394526249
56,-34.742289947972
57,-34.780067554882
58,-34.819667065702
59,-34.861027517908
60,-34.904087502722
61,-34.948785371333
62,-34.995059415917
63,-35.042848028554
64,-35.092089840733
65,-35.142723845778
66,-35.194689506224
67,-35.247926847934
68,-35.302376542500
69,-35.357979979292
70,-35.414679328358
71,-35.472417595211
72,-35.531138668455
73,-35.590787361028
74,-35.651309445823
75,-35.712651686296
76,-35.774761862639
77,-35.837588794011
78,-35.901082357278
79,-35.965193502650
80,-36.029874266574
81,-36.095077782183
82,-36.160758287591
83,-36.226871132274
84,-36.293372781771
85,-36.360220820876
86,-36.427373955537
87,-36.494792013581
88,-36.562435944434
89,-36.630267817946
90,-36.698250822446
91,-36.766349262120
92,-36.834528553806
93,-36.902755223292
94,-36.970996901176
95,-37.039222318372
96,-37.107401301309
97,-37.175504766877
98,-37.243504717162
99,-37.311374234033
100,-37.379087473585
101,-37.446619660504
102,-37.513947082363
103,-37.581047083880
104,-37.647898061174
105,-37.714479456017
106,-37.780771750124
107,-37.846756459477
108,-37.912416128719
109,-37.977734325606
110,-38.042695635549
111,-38.107285656243
112,-38.171490992394
113,-38.235299250554
114,-38.298699034064
115,-38.361679938112
116,-38.424232544912
117,-38.486348419001
118,-38.548020102659
119,-38.609241111454
120,-38.670005929906
121,-38.730310007278
122,-38.790149753486
123,-38.849522535122
124,-38.908426671605
125,-38.966861431433
126,-39.024827028547
127,-39.082324618804
128,-39.139356296535
129,-39.195925091213
130,-39.252034964190
131,-39.307690805522
132,-39.362898430862
133,-39.417664578416
134,-39.471996905949
135,-39.525903987835
136,-39.579395312139
137,-39.632481277718
138,-39.685173191332
139,-39.737483264746
140,-39.789424611810
141,-39.841011245511
142,-39.892258074963
143,-39.943180902333
144,-39.993796419676
145,-40.044122205660
146,-40.094176722159
147,-40.143979310692
148,-40.193550188682
149,-40.242910445507
150,-40.292082038316
151,-40.341087787577
152,-40.389951372323
153,-40.438697325066
154,-40.487351026332
155,-40.535938698779
156,-40.584487400860
157,-40.633025019968
158,-40.681580265024
159,-40.730182658453
160,-40.778862527473
161,-40.827650994650
162,-40.876579967637
163,-40.925682128027
164,-40.974990919231
165,-41.024540533305
166,-41.074365896619
167,-41.124502654263
168,-41.174987153092
169,-41.225856423268
170,-41.277148158185
171,-41.328900692623
172,-41.381152978972
173,-41.433944561373
174,-41.487315547564
175,-41.541306578267
176,-41.595958793855
177,-41.651313798100
178,-41.707413618714
179,-41.764300664409
180,-41.822017678171
181,-41.880607686400
182,-41.940113943545
183,-42.000579871833
184,-42.062048995642
185,-42.124564870025
186,-42.188171002852
187,-42.252910769982
188,-42.318827322796
189,-42.385963487401
190,-42.454361654688
191,-42.524063660385
192,-42.595110654137
193,-42.667542956539
194,-42.741399902945
195,-42.816719672735
196,-42.893539102578
197,-42.971893482078
198,-43.051816329983
199,-43.133339148951
200,-43.216491156614
201,-43.301298990430
202,-43.387786383490
203,-43.475973808125
204,-43.565878083743
205,-43.657511944903
206,-43.750883565090
207,-43.845996031100
208,-43.942846762239
209,-44.041426867786
210,-44.141720435265
211,-44.243703741018
212,-44.347344373398
213,-44.452600257470
214,-44.559418568494
215,-44.667734519543
216,-44.777470006372
217,-44.888532090010
218,-45.000811294444
219,-45.114179693049
220,-45.228488753054
221,-45.343566902076
222,-45.459216774490
223,-45.575212087830
224,-45.691294090313
225,-45.807167509489
226,-45.922495918499
227,-46.036896419877
228,-46.149933526431
229,-46.261112093420
230,-46.369869124771
231,-46.475564236502
232,-46.577468510630
233,-46.674751409354
234,-46.766465337971
235,-46.851527339944
236,-46.928697270688
237,-46.996551616723
238,-47.053451887894
239,-47.097506189662
240,-47.126522146987
241,-47.137948752544
242,-47.128803877321
243,-47.095583000600
244,-47.034143017529
245,-46.939552494291
246,-46.805896022656
247,-46.626014643295
248,-46.391155402286
249,-46.090488747083
250,-45.710428553923
251,-45.233648229435
252,-44.637611645457
253,-43.892295629347
254,-42.956493290505
255,-41.771459586914
256,-40.249149866470
257,-38.248174944929
258,0.000000000000
259,0.000000000000
260,0.000000000000
261,0.000000000000
262,0.000000000000
263,0.000000000000
264,0.000000000000
265,0.000000000000
266,0.000000000000
267,0.000000000000
268,0.000000000000
269,0.000000000000
270,0.000000000000
271,26.109011081958
272,52.218022163916
273,78.327033245874
274,78.327033245874
275,78.327033245874
276,78.327033245874
277,78.327033245874
278,78.327033245874
279,78.327033245874
280,70.905013906476
281,65.912821929188
282,62.091120967934
283,58.968345003967
284,56.312707181395
285,53.992446150799
286,51.925364218925
287,50.056711357395
288,48.348179362501
289,46.771904730090
290,45.306969435481
291,43.937246835973
292,42.650017140617
293,41.435045321486
294,40.283948449271
295,39.189750488109
296,38.146562120702
297,37.149346109516
298,36.193742489429
299,35.275936440834
300,34.392557145273
301,33.540599487531
302,32.717362845497
303,31.920402827167
304,31.147492934754
305,30.396593924582
306,29.665829194473
307,28.953464937737
308,28.257894101137
309,27.577623405016
310,26.911262848758
311,26.257517249154
312,25.615179453589
313,24.983124941852
314,24.360307585202
315,23.745756372902
316,23.138572947474
317,22.537929812321
318,21.943069090227
319,21.353301719208
320,20.768006973286
321,20.186632189488
322,19.608692567468
323,19.033770882740
324,18.461516915291
325,17.891646337663
326,17.323938723477
327,16.758234218186
328,16.194428243226
329,15.632463358812
330,15.072317053481
331,14.513983703789
332,13.957448166424
333,13.402647283922
334,12.849413767240
335,12.297394063194
336,11.745927225694
337,11.193864237574
338,10.639294352691
339,10.079122350705
340,9.508398998001
341,8.919226923958
342,8.298900737293
343,7.626582312159
344,6.866954891104
345,5.956992793507
346,4.774704771364
347,3.049629799528
348,0.000000000000
349,0.000000000000
350,0.000000000000
351,0.000000000000
352,0.000000000000
353,0.000000000000
354,0.000000000000
355,0.000000000000
356,0.000000000000
