tick,angle
0,-83.449101387994
1,-83.449101387994
2,-71.060762880077
3,-58.672424372159
4,-46.284085864242
5,-33.895747356324
6,-21.507408848407
7,-21.507408848407
8,-22.609824871349
9,-23.362865603602
10,-23.929405946221
11,-24.386370941342
12,-24.775210936824
13,-25.120155920401
14,-25.436155990456
15,-25.732782219605
16,-26.016316860366
17,-26.290948800931
18,-26.559492827833
19,-26.823840210647
20,-27.085250367146
21,-27.344544802010
22,-27.602238961492
23,-27.858633544914
24,-28.113878708679
25,-28.368019774459
26,-28.621030093783
27,-28.872834856936
28,-29.123328431673
29,-29.372387025626
30,-29.619877935102
31,-29.865666280760
32,-30.109619879716
33,-30.351612727562
34,-30.591527438593
35,-30.829256902588
36,-31.064705351165
37,-31.297788978854
38,-31.528436228621
39,-31.756587825251
40,-31.982196620158
41,-32.205227296319
42,-32.425655970623
43,-32.643469722303
44,-32.858666069480
45,-33.071252410688
46,-33.281245444348
47,-33.488670576048
48,-33.693561321129
49,-33.895958708203
50,-34.095910687794
51,-34.293471549148
52,-34.488701347392
53,-34.681665342520
54,-34.872433451150
55,-35.061079711601
56,-35.247681762483
57,-35.432320334777
58,-35.615078757183
59,-35.796042474374
60,-35.975298577689
61,-36.152935347732
62,-36.329041808291
63,-36.503707290940
64,-36.677021009713
65,-36.849071645187
66,-37.019946937341
67,-37.189733286569
68,-37.358515362238
69,-37.526375718200
70,-37.693394414713
71,-37.859648646236
72,-38.025212374625
73,-38.190155967271
74,-38.354545839784
75,-38.518444102867
76,-38.681908213088
77,-38.844990627290
78,-39.007738460486
79,-39.170193147104
80,-39.332390105582
81,-39.494358406348
82,-39.656120443366
83,-39.817691609507
84,-39.979079976136
85,-40.140285977475
86,-40.301302100424
87,-40.462112580749
88,-40.622693106718
89,-40.783010531571
90,-40.943022596423
91,-41.102677665600
92,-41.261914476720
93,-41.420661908350
94,-41.578838768516
95,-41.736353607983
96,-41.893104562934
97,-42.048979232473
98,-42.203854597369
99,-42.357596987599
100,-42.510062107569
101,-42.661095129529
102,-42.810530867534
103,-42.958194046579
104,-43.103899684190
105,-43.247453604947
106,-43.388653112223
107,-43.527287846041
108,-43.663140861434
109,-43.795989968451
110,-43.925609383000
111,-44.051771747683
112,-44.174250593817
113,-44.292823330756
114,-44.407274866902
115,-44.517401989583
116,-44.623018659193
117,-44.723962408498
118,-44.820102082535
119,-44.911347211048
120,-44.997659377343
121,-45.079066039760
122,-45.155677381208
123,-45.227706917488
124,-45.295496798885
125,-45.359549009402
126,-45.420564028668
127,-45.479489008721
128,-45.537578182997
129,-45.596469144054
130,-45.658279913552
131,-45.725733555865
132,-45.802319723750
133,-45.892506395225
134,-46.002020852328
135,-46.138227804375
136,-46.310646415418
137,-46.531670280946
138,-46.817591355875
139,-47.190092323874
140,-47.678485522420
141,-48.323189931677
142,-49.181362270829
143,-50.336504310508
144,-51.915979897145
145,-54.125887804714
146,-57.329533091797
147,-62.259921870196
148,0.000000000000
149,0.000000000000
150,0.000000000000
151,0.000000000000
152,0.000000000000
153,0.000000000000
154,0.000000000000
155,0.000000000000
156,0.000000000000
157,0.000000000000
158,0.000000000000
159,0.000000000000
160,0.000000000000
161,0.000000000000
162,0.000000000000
163,20.220338035227
164,40.440676070455
165,60.661014105682
166,80.881352140909
167,80.881352140909
168,76.220797027651
169,72.315249143064
170,68.910968944058
171,65.880006078970
172,63.144093181576
173,60.650073335630
174,58.359378407211
175,56.242722215344
176,54.277115702423
177,52.444051322228
178,50.728331273275
179,49.117275337709
180,47.600164947189
181,46.167840833496
182,44.812404221634
183,43.526989993101
184,42.305591195291
185,41.142921016992
186,40.034302643805
187,38.975580221011
188,37.963046042381
189,36.993380383021
190,36.063601305510
191,35.171022418934
192,34.313217042181
193,33.487987570084
194,32.693339099967
195,31.927456571679
196,31.188684823392
197,30.475511080513
198,29.786549484510
199,29.120527338700
200,28.476272803453
201,27.852703817387
202,27.248818056328
203,26.663683770128
204,26.096431360081
205,25.546245578054
206,25.012358243023
207,24.494041382460
208,23.990600715173
209,23.501369399259
210,23.025701974064
211,22.562968428532
212,22.112548330354
213,21.673824950787
214,21.246179319054
215,20.828984137685
216,20.421597485983
217,20.023356232720
218,19.633569071030
219,19.251509077738
220,18.876405685654
221,18.507435939963
222,18.143714887786
223,17.784284922156
224,17.428103866419
225,17.074031540211
226,16.720814490904
227,16.367068500558
228,16.011258382672
229,15.651674457442
230,15.286404928001
231,14.913303157349
232,14.529948543397
233,14.133599273304
234,13.721134656133
235,13.288983904072
236,12.833037029168
237,12.348531736502
238,11.829907476737
239,11.270613565446
240,10.662851392575
241,9.997219178105
242,9.262207405359
243,8.443455390910
244,7.522604923139
245,6.475426966372
246,5.268516189361
247,3.852800669646
248,2.148577865108
249,0.000000000000
250,0.000000000000
251,0.000000000000
252,0.000000000000
253,0.000000000000
