tick,angle
0,-0.010000000000
1,-0.016496574768
2,-0.048730303654
3,-0.112543899013
4,-0.207417300066
5,-0.331165400135
6,-0.481249209351
7,-0.655194306566
8,-0.850723277480
9,-1.065786625413
10,-1.298556457090
11,-1.547407319200
12,-1.810893827031
13,-2.087728886215
14,-2.376763889406
15,-2.676971250864
16,-2.987429221444
17,-3.307308768018
18,-3.635862257941
19,-3.972413694675
20,-4.316350275282
21,-4.667115070392
22,-5.024200656688
23,-5.387143558504
24,-5.755519378086
25,-6.128938513573
26,-6.507042379999
27,-6.889500062244
28,-7.276005340034
29,-7.666274034486
30,-8.060041633401
31,-8.457061158958
32,-8.857101246835
33,-9.259944410264
34,-9.665385466298
35,-10.073230104719
36,-10.483293582705
37,-10.895399530620
38,-11.309378856209
39,-11.725068736147
40,-12.142311685240
41,-12.560954694828
42,-12.980848432934
43,-13.401846499626
44,-13.823804731809
45,-14.246580552344
46,-14.670032358996
47,-15.094018949190
48,-15.518398977048
49,-15.943030439547
50,-16.367770189016
51,-16.792473469483
52,-17.216993474705
53,-17.641180925930
54,-18.064883667702
55,-18.487946280239
56,-18.910209707086
57,-19.331510896984
58,-19.751682459029
59,-20.170552330397
60,-20.587943456090
61,-21.003673480306
62,-21.417554449232
63,-21.829392525245
64,-22.238987712661
65,-22.646133595431
66,-23.050617087337
67,-23.452218195543
68,-23.850709798560
69,-24.245857440024
70,-24.637419139978
71,-25.025145225754
72,-25.408778184934
73,-25.788052543392
74,-26.162694771949
75,-26.532423225814
76,-26.896948121738
77,-27.255971558666
78,-27.609187588663
79,-27.956282346098
80,-28.296934244407
81,-28.630814251421
82,-28.957586256138
83,-29.276907542082
84,-29.588429385105
85,-29.891797796681
86,-30.186654437551
87,-30.472637731222
88,-30.749384212269
89,-31.016530151107
90,-31.273713504934
91,-31.520576254358
92,-31.756767197194
93,-31.981945285590
94,-32.195783610728
95,-32.397974161711
96,-32.588233513064
97,-32.766309630100
98,-32.931990025134
99,-33.085111552896
100,-33.225572204003
101,-33.353345345698
102,-33.468496975773
103,-33.571206707481
104,-33.661793402559
105,-33.740746633415
106,-33.808765508430
107,-33.866806871046
108,-33.916145534698
109,-33.958450116574
110,-33.995879295975
111,-34.031205119133
112,-34.067972568004
113,-34.110708428748
114,-34.165198223022
115,-34.238858746252
116,-34.341247553501
117,-34.484773018708
118,-34.685705743863
119,-34.965656318388
120,-35.353800249074
121,-35.890350434485
122,-36.632219425328
123,-37.662770651788
124,-39.109830464104
125,-41.182220432894
126,-44.254309777860
127,-49.105993352670
128,0.000000000000
129,0.000000000000
130,0.000000000000
131,0.000000000000
132,0.000000000000
133,0.000000000000
134,0.000000000000
135,0.000000000000
136,0.000000000000
137,0.000000000000
138,0.000000000000
139,0.000000000000
140,0.000000000000
141,0.000000000000
142,12.000390571033
143,24.000781142065
144,36.001171713098
145,48.001562284130
146,60.001952855163
147,60.001952855163
148,57.375279618785
149,55.071192513282
150,53.012064122377
151,51.146850320856
152,49.439880339359
153,47.865076310394
154,46.402697706426
155,45.037381096500
156,43.756896179628
157,42.551322122806
158,41.412482723529
159,40.333547472037
160,39.308742609523
161,38.333137259711
162,37.402482100619
163,36.513085622799
164,35.661717802549
165,34.845534118735
166,34.062014900577
167,33.308916390545
168,32.584230872668
169,31.886153896659
170,31.213057114565
171,30.563465599541
172,29.936038775794
173,29.329554281819
174,28.742894234397
175,28.175033471373
176,27.625029436102
177,27.092013432258
178,26.575183029102
179,26.073795437777
180,25.587161711370
181,25.114641647098
182,24.655639289670
183,24.209598951554
184,23.776001679470
185,23.354362107598
186,22.944225647097
187,22.545165969123
188,22.156782744837
189,21.778699611104
190,21.410562335010
191,21.052037154012
192,20.702809271658
193,20.362581491466
194,20.031072973805
195,19.708018102545
196,19.393165449879
197,19.086276829166
198,18.787126426817
199,18.495500005354
200,18.211194170633
201,17.934015697067
202,17.663780905324
203,17.400315087632
204,17.143451976304
205,16.893033251597
206,16.648908085410
207,16.410932717673
208,16.178970062633
209,15.952889342486
210,15.732565746077
211,15.517880110605
212,15.308718624451
213,15.104972549464
214,14.906537961143
215,14.713315505344
216,14.525210170215
