field,value
format,elytra-framewise-periodic-v2
variant,no-chatter practical
optimizationTarget,max_climb_rate_without_chatter
period,254
optimizerSplitBeforePhaseRotation,-1
phaseRotationTicks,0
avgHorizontal,22.746610222203515
climbRate,1.5529812471325877
dx,288.8819498219846
dy,19.722861838583864
heightSpan,93.48371178599731
meanAbsDelta,1.920598356457606
rmsDelta,9.079804663353212
maxAbsDelta,89.97399999999999
noShortPeriodChatter,1
method,"Per-frame L-BFGS-B with reversal regularization, a four-direction-change topology limit, and Java-exact coordinate refinement"
