tick,angle
0,-89.5
1,-89.5
2,-89.5
3,-89.5
4,-89.5
5,-89.5
6,-89.5
7,-89.5
8,-89.5
9,-89.5
10,-61.174768994565213
11,-32.849537989130418
12,-32.849537995065305
13,-33.35440403969244
14,-33.714330368915228
15,-33.975615156689315
16,-34.166705234558272
17,-34.306313732417678
18,-34.407370973537347
19,-34.479148247562868
20,-34.528486907137868
21,-34.560551638216864
22,-34.579313691550183
23,-34.587872739266921
24,-34.588678043571775
25,-34.583684509929192
26,-34.574465323768287
27,-34.562294867054796
28,-34.548210816148504
29,-34.533061358530695
30,-34.517541584058002
31,-34.502221871337973
32,-34.487570274480348
33,-34.473970342705293
34,-34.461735445205321
35,-34.451120364482527
36,-34.442330760204207
37,-34.435530938134342
38,-34.430850274488222
39,-34.428388553367277
40,-34.428220426427998
41,-34.430399157310447
42,-34.43495977941874
43,-34.441921769254549
44,-34.451291318837228
45,-34.463063276948922
46,-34.477222802647027
47,-34.493746794765343
48,-34.512605117353544
49,-34.533761651046817
50,-34.557175218282417
51,-34.582800368923287
52,-34.610588070759732
53,-34.640486312808051
54,-34.67244062156206
55,-34.706394525845838
56,-34.742289948630052
57,-34.780067555491094
58,-34.819667064472277
59,-34.8610275187635
60,-34.904087501403616
61,-34.948785370636365
62,-34.995059416145338
63,-35.042848029881611
64,-35.092089841227434
65,-35.142723846782488
66,-35.194689505294193
67,-35.24792684740801
68,-35.302376542752896
69,-35.357979978289194
70,-35.414679326835767
71,-35.472417594576093
72,-35.531138669921113
73,-35.590787359728921
74,-35.651309445525989
75,-35.712651688128069
76,-35.774761864545603
77,-35.837588794738004
78,-35.901082357611557
79,-35.96519350466518
80,-36.029874267191786
81,-36.095077784345904
82,-36.160758289702486
83,-36.226871132438006
84,-36.293372779755089
85,-36.360220823068609
86,-36.427373955036636
87,-36.494792012153553
88,-36.562435946235489
89,-36.630267818647027
90,-36.698250823468221
91,-36.766349262186672
92,-36.834528552041562
93,-36.902755224697657
94,-36.970996900130501
95,-37.039222319709879
96,-37.107401300304922
97,-37.175504767602732
98,-37.243504715144383
99,-37.311374233002233
100,-37.379087471947791
101,-37.446619662494108
102,-37.513947084340849
103,-37.581047085756325
104,-37.647898063329635
105,-37.714479456867252
106,-37.780771749421902
107,-37.846756457613239
108,-37.912416127114128
109,-37.977734323452118
110,-38.042695637676161
111,-38.107285658122734
112,-38.171490991111199
113,-38.23529925242255
114,-38.298699035232744
115,-38.361679935942462
116,-38.42423254627063
117,-38.486348417530607
118,-38.548020100644251
119,-38.609241110775258
120,-38.67000593002065
121,-38.730310005468162
122,-38.790149751865911
123,-38.849522536188772
124,-38.908426671769249
125,-38.966861430398701
126,-39.024827027500514
127,-39.08232461665191
128,-39.139356297312403
129,-39.195925092093816
130,-39.252034963384659
131,-39.307690803787636
132,-39.362898431127704
133,-39.417664579461004
134,-39.471996906942252
135,-39.525903986849471
136,-39.579395311117928
137,-39.632481277462311
138,-39.685173192974553
139,-39.737483265496827
140,-39.789424611000953
141,-39.84101124480739
142,-39.892258076882172
143,-39.943180903253463
144,-39.993796420572899
145,-40.044122205519805
146,-40.094176721258492
147,-40.143979312042134
148,-40.193550190172438
149,-40.242910445413663
150,-40.292082038862048
151,-40.341087789180868
152,-40.389951373481679
153,-40.438697324004252
154,-40.487351028011844
155,-40.535938697881072
156,-40.584487399434707
157,-40.633025020940785
158,-40.681580263606257
159,-40.730182656855675
160,-40.778862529083668
161,-40.827650995846639
162,-40.87657996902464
163,-40.925682128548544
164,-40.974990918598422
165,-41.024540531700261
166,-41.074365895219259
167,-41.124502652782901
168,-41.174987151596653
169,-41.225856424504173
170,-41.277148158968281
171,-41.328900694167189
172,-41.381152978412203
173,-41.433944562154942
174,-41.487315546511283
175,-41.541306579098524
176,-41.595958792722151
177,-41.651313799542137
178,-41.707413618658336
179,-41.764300663547729
180,-41.822017677570578
181,-41.880607684829805
182,-41.940113944812779
183,-42.000579872286501
184,-42.062048993613843
185,-42.124564871930609
186,-42.188171002694233
187,-42.252910767888821
188,-42.318827320598217
189,-42.38596348675717
190,-42.454361652527965
191,-42.524063660016992
192,-42.595110653311423
193,-42.667542954307152
194,-42.741399900731992
195,-42.816719673105219
196,-42.893539104254828
197,-42.971893480118105
198,-43.051816330863936
199,-43.13333915114017
200,-43.216491158113783
201,-43.301298990036109
202,-43.387786384342746
203,-43.475973809697471
204,-43.56587808196538
205,-43.65751194398765
206,-43.75088356251193
207,-43.845996030634751
208,-43.94284676373568
209,-44.041426870772952
210,-44.141720433215006
211,-44.243703744141541
212,-44.347344371755199
213,-44.452600255576037
214,-44.559418569735158
215,-44.667734520459419
216,-44.777470003811189
217,-44.888532089536746
218,-45.000811293193301
219,-45.114179693965269
220,-45.228488753923948
221,-45.343566898915419
222,-45.459216776512193
223,-45.575212085948678
224,-45.691294087272674
225,-45.807167512568753
226,-45.922495916243477
227,-46.036896418706746
228,-46.149933527392442
229,-46.261112095342575
