tick,angle
0,-0.049929041834445798
1,-0.049929041834335774
2,-0.054472271847209444
3,-0.096933861512115679
4,-0.18310619731434979
5,-0.31029963391486992
6,-0.47405718777640382
7,-0.66984556038568122
8,-0.89351797499743546
9,-1.1414144960421302
10,-1.4103476486701689
11,-1.6975539701201834
12,-2.0006393768058892
13,-2.3175278880998622
14,-2.6464165122682992
15,-2.9857366012702959
16,-3.334121105869206
17,-3.6903769234053327
18,-4.0534615333804878
19,-4.4224632056038296
20,-4.7965841718723485
21,-5.1751262567367515
22,-5.5574785526221557
23,-5.9431067990916073
24,-6.3315441890714776
25,-6.7223833742545818
26,-7.1152694821654769
27,-7.5098939913095712
28,-7.9059893358587114
29,-8.3033241342872621
30,-8.7016989526147626
31,-9.1009425281031611
32,-9.5009083907538052
33,-9.9014718290861836
34,-10.302527155576144
35,-10.703985233208444
36,-11.105771229669593
37,-11.507822571821171
38,-11.910087075471392
39,-12.312521228980724
40,-12.715088613155054
41,-13.117758441264275
42,-13.520504204189471
43,-13.92330241039501
44,-14.326131407797371
45,-14.728970279953622
46,-15.131797806449343
47,-15.53459148179733
48,-15.937326584926211
49,-16.339975293671799
50,-16.742505839656623
51,-17.144881698242337
52,-17.547060809692251
53,-17.948994827638735
54,-18.350628392079862
55,-18.751898423315524
56,-19.152733434612344
57,-19.553052861256752
58,-19.952766404172969
59,-20.351773386352495
60,-20.749962120439772
61,-21.147209286884049
62,-21.543379321543632
63,-21.938323812033488
64,-22.331880903488681
65,-22.723874712742841
66,-23.114114752483257
67,-23.502395365664391
68,-23.888495172208703
69,-24.272176529751839
70,-24.653185011018252
71,-25.031248901366162
72,-25.406078720697934
73,-25.777366775364094
74,-26.144786745916157
75,-26.507993319095419
76,-26.866621873450192
77,-27.220288230432576
78,-27.568588484389213
79,-27.911098928891111
80,-28.247376099992039
81,-28.576956959872398
82,-28.899359252036135
83,-29.214082062515143
84,-29.520606632117271
85,-29.818397470771725
86,-30.106903839727217
87,-30.38556167912467
88,-30.653796076741365
89,-30.911024396222317
90,-31.156660209645864
91,-31.39011821368041
92,-31.610820353196921
93,-31.818203430820517
94,-32.011728552500642
95,-32.190892851370492
96,-32.355244051119286
97,-32.504398586820336
98,-32.638064207717242
99,-32.756068261203644
100,-32.858393227679109
101,-32.94522157819992
102,-33.016992718244666
103,-33.074475741730872
104,-33.118863074731301
105,-33.151892027134132
106,-33.176004088762674
107,-33.194555977509232
108,-33.212102742003225
109,-33.234782933541183
110,-33.270851221833041
111,-33.331428809423862
112,-33.431583945583064
113,-33.591927915894097
114,-33.841044777495831
115,-34.219327375178182
116,-34.785309287255089
117,-35.626715943236547
118,-36.881189988251343
119,-38.779099648740711
120,-41.744992142278441
121,-46.695843495393675
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,11.88979146379647
137,23.779582927592941
138,35.669374391389404
139,47.559165855185881
140,59.448957318982345
141,59.448957318941062
142,56.724957149000872
143,54.33700754504558
144,52.198196738079062
145,50.257948025690254
146,48.482404232310813
147,46.847026087612981
148,45.333082854750629
149,43.925745011233097
150,42.612947265929947
151,41.384663661581115
152,40.232421090275025
153,39.14895931207117
154,38.127985423931442
155,37.16399165015747
156,36.252116987506319
157,35.388040075005989
158,34.567894822092583
159,33.78820297180976
160,33.045819490186233
161,32.337887826896761
162,31.66180287959412
163,31.015180046809125
164,30.395829147263846
165,29.801732269577595
166,29.23102482514193
167,28.68197923419169
168,28.152990793124204
169,27.642565361658967
170,27.149308577796695
171,26.671916363910039
172,26.209166528471773
173,25.759911303906254
174,25.323070686541428
175,24.897626467443114
176,24.482616859983139
177,24.07713164531005
178,23.68030776759748
179,23.291325321915465
180,22.909403884531336
181,22.53379914305258
182,22.163799788971549
183,21.798724639801861
184,21.437919962253986
185,21.080756971126032
186,20.72662948123843
187,20.374951691644142
188,20.025156084860456
189,19.676691423105588
190,19.32902082726774
191,18.981619923884772
192,18.63397504675487
193,18.285581480621687
194,17.935941734972388
195,17.584563836075333
196,17.230959625701431
197,16.874643055487798
198,16.515128465149651
199,16.151928833624883
200,15.78455399106239
201,15.412508780318351
202,15.035291155703668
203,14.652390207105093
204,14.263284096886871
205,13.867437898532112
206,13.464301325238409
207,13.053306339510499
