tick,angle
0,-90
1,-88.720398956778908
2,-87.442444721400264
3,-86.167789417469322
4,-84.898098872308623
5,-83.6350555073181
6,-82.380345270981479
7,-81.135669913468462
8,-79.90273721066022
9,-78.683249516010562
10,-77.478899464074829
11,-76.291374372287095
12,-75.122318145976976
13,-73.973349506493378
14,-72.846054635961309
15,-71.741932892176592
16,-70.662463476598077
17,-69.609025651439367
18,-68.582913347335861
19,-67.585379519712916
20,-66.617518226353852
21,-65.680378992280168
22,-64.774894463105312
23,-63.901850944082355
24,-63.061996521724261
25,-62.255891117591048
26,-61.484018546491392
27,-60.746764738993818
28,-60.04433478427309
29,-59.376897853443168
30,-58.744451121601521
31,-58.146888634299344
32,-57.584038897308787
33,-57.055551141305216
34,-56.561036540570583
35,-56.099976759349971
36,-55.671739135542133
37,-55.275652468775959
38,-54.910896111169571
39,-54.576606949468434
40,-54.271839371736789
41,-53.99554095671381
42,-53.746636369710053
43,-53.523943391431253
44,-53.32623514762426
45,-53.152239624173127
46,-53.000598551823586
47,-52.869938021823856
48,-52.758819259886614
49,-52.665763253991258
50,-52.589267892799342
51,-52.527765811074239
52,-52.479676806938272
53,-52.443399616859168
54,-52.417313755712271
55,-52.399777243927659
56,-52.389054831713175
57,-52.383387266495077
58,-52.381104518732606
59,-52.3806560179315
60,-52.380638566728216
61,-52.380627453178491
62,-52.380618077958978
63,-52.380608558644262
64,-52.380599196741315
65,-52.380590538295245
66,-52.380582978081321
67,-52.380576813756022
68,-52.380572225205178
69,-52.380569042569675
70,-52.380567028192232
71,-52.38056589769549
72,-52.380565322621862
73,-52.38056501020089
74,-52.38056484205417
75,-52.380564751097211
76,-52.380564693519943
77,-52.380564657731419
78,-52.38056463506193
79,-52.380564620911933
80,-52.380564612496705
81,-52.380564607560927
82,-52.380564604921048
83,-52.380564603560956
84,-52.380564602894609
85,-52.38056460262144
86,-52.38056460249917
87,-52.380564602451649
88,-52.380564602436024
89,-52.380564602428855
90,-52.380564602425771
91,-52.380564602423647
92,-52.3805646024216
93,-52.38056460241954
94,-52.380564602417351
95,-52.380564602414992
96,-52.380564602412434
97,-52.380564602409649
98,-52.380564602406615
99,-52.380564602403325
100,-52.380564602399744
101,-52.380564602395886
102,-52.380564602391701
103,-52.380564602387182
104,-52.380564602382293
105,-52.380564602377078
106,-52.380564602371471
107,-52.380564602365475
108,-52.38056460235908
109,-52.380564602352258
110,-52.38056460234499
111,-52.380564602337294
112,-52.38056460232913
113,-52.380564602320518
114,-52.380564602311459
115,-52.380564602301924
116,-52.380564602291912
117,-52.380564602281439
118,-52.380564602270482
119,-52.380564602259071
120,-52.380564602247219
121,-52.380564602234898
122,-52.380564602222123
123,-52.380564602208914
124,-52.380564602195264
125,-52.380564602181209
126,-52.380564602166757
127,-52.380564602151907
128,-52.38056460213668
129,-52.380564602121112
130,-52.380564602105217
131,-52.380564602089038
132,-52.380564602072582
133,-52.380564602055898
134,-52.380564602038973
135,-52.380564602021863
136,-52.380564602004583
137,-52.380564601987196
138,-52.380564601969709
139,-52.380564601952166
140,-52.380564601934566
141,-52.380564601916994
142,-52.380564601899444
143,-52.380564601881957
144,-52.380564601864585
145,-52.380564601847354
146,-52.380564601830287
147,-52.380564601813418
148,-52.380564601796763
149,-52.380564601780364
150,-52.38056460176427
151,-52.380564601748482
152,-52.380564601733028
153,-52.380564601717886
154,-52.380564601703014
155,-52.380564601688292
156,-52.380564601672916
157,-52.380564601655664
158,-52.380564601633083
159,-52.380564601593839
160,-52.380564601522927
161,-52.380564601352283
162,-52.380564600954813
163,-52.380564600135287
164,-52.38056459833102
165,-52.380564594839775
166,-52.380564588224253
167,-52.380564575841262
168,-52.380564554433008
169,-52.380564516199215
170,-52.380564450915223
171,-52.380564343846856
172,-52.380564169226709
173,-52.38056389773309
174,-52.380563470904193
175,-52.380562807390596
176,-52.38056180945528
177,-52.380560319787136
178,-52.380558163075577
179,-52.380555045532361
180,-52.380550536902852
181,-52.380544155393451
182,-52.380535160468447
183,-52.380522714678548
184,-52.38050577743995
185,-52.38048296348191
186,-52.38045279008238
187,-52.380413170874064
188,-52.380361687098585
189,-52.380295660452418
190,-52.380211759609026
191,-52.380106406080955
192,-52.379973673074367
193,-52.379805726634189
194,-52.379593581447907
195,-52.379323950413209
196,-52.37898210700876
197,-52.378540939382745
198,-52.377958586246251
199,-52.377192766880114
200,-52.376203906766797
201,-52.3749538014753
202,-52.373434232571867
203,-52.371689678548854
204,-52.36975829119217
205,-52.367563176427247
206,-52.364962040981304
207,-52.361844380137015
208,-52.358185762787855
209,-52.353974897668394
210,-52.349184638654464
211,-52.343774526051718
212,-52.337715475508489
213,-52.331026466282644
214,-52.323738231263391
215,-52.315864421875673
216,-52.307397656962763
217,-52.298330200559249
218,-52.288660302798966
219,-52.278388558514798
220,-52.267515277466288
221,-52.256040240708089
222,-52.243963410186026
223,-52.231287188438976
224,-52.218015419702098
225,-52.204154964253199
226,-52.189720906840193
227,-52.17472925120363
228,-52.159187349120053
229,-52.143095040892071
230,-52.126455007293714
231,-52.109283018508961
232,-52.091598166353243
233,-52.073414200431415
234,-52.054738068685197
235,-52.035578036374673
236,-52.015954018695716
237,-51.995890634846369
238,-51.97540880625489
239,-51.95452246290634
240,-51.933244948692874
241,-51.911591629769589
242,-51.889579107752539
243,-51.867226670620767
244,-51.844561204583357
245,-51.821610473850612
246,-51.798393367481772
247,-51.774920808407948
248,-51.751206981266932
249,-51.727281670765393
250,-51.70317888175542
251,-51.67892979830404
252,-51.654561890530076
253,-51.63010077448925
254,-51.605561024548194
255,-51.580952632814842
