tick,angle
1,-20.019983421405467
2,-22.075080726643566
3,-24.206386040830342
4,-26.399229539440586
5,-28.638404444227806
6,-30.907466567451895
7,-33.187911169438387
8,-35.462998396337447
9,-37.713268073656458
10,-39.919725441271261
11,-42.062593006440324
12,-44.124988106972175
13,-46.089095125631111
14,-47.939275772697655
15,-49.661084057367169
16,-51.245096663516044
17,-52.683148135729098
18,-53.971301881960947
19,-55.108483221899263
20,-56.099889807805475
21,-56.952210363286071
22,-57.675752699438235
23,-58.282006418604716
24,-58.786351802328717
25,-59.202420836754939
26,-59.54408619610777
27,-59.823049317809371
28,-60.052075467040488
29,-60.239847341636711
30,-60.3938145992486
31,-60.51852251762363
32,-60.619608892363324
33,-60.699152605150474
34,-60.75898712863097
35,-60.799260709793586
36,-60.82255200544526
37,-60.829139949571484
38,-60.820186278752317
39,-60.797183801504119
40,-60.76088455738406
41,-60.715074660566849
42,-60.661505396824872
43,-60.602102493258805
44,-60.53953511693787
45,-60.477404606260244
46,-60.417590075129759
47,-60.362804680666464
48,-60.312097829214331
49,-60.269548609962541
50,-60.23555698695295
51,-60.211606785277993
52,-60.195568961577607
53,-60.190418504610221
54,-60.195568961577607
55,-60.211606785277993
56,-60.23555698695295
57,-60.269548609962541
58,-60.312097829214331
59,-60.362804680666464
60,-60.417590075129759
61,-60.477404606260244
62,-60.53953511693787
63,-60.602399766587112
64,-60.660870241909542
65,-60.715145417876236
66,-60.762131996420791
67,-60.800360597053832
68,-60.825349150442847
69,-60.838525396678705
70,-60.838525396678705
71,-60.825349150442847
72,-60.800360597053832
73,-60.762131996420791
74,-60.715145417876236
75,-60.660870241909542
76,-60.602399766587112
77,-60.53953511693787
78,-60.477404606260244
79,-60.417590075129759
80,-60.362804680666464
81,-60.312097829214331
82,-60.269548609962541
83,-60.23555698695295
84,-60.211606785277993
85,-60.195568961577607
86,-60.190418504610221
87,-60.195568961577607
88,-60.211606785277993
89,-60.23555698695295
90,-60.269548609962541
91,-60.312097829214331
92,-60.362804680666464
93,-60.417590075129759
94,-60.477404606260244
95,-60.53953511693787
96,-60.602399766587112
97,-60.660870241909542
98,-60.715145417876236
99,-60.762131996420791
100,-60.800360597053832
101,-60.825349150442847
102,-60.838525396678705
103,-60.838525396678705
104,-60.825349150442847
105,-60.800360597053832
106,-60.762131996420791
107,-60.715145417876236
108,-60.660870241909542
109,-60.602399766587112
110,-60.53953511693787
111,-60.477404606260244
112,-60.417590075129759
113,-60.362804680666464
114,-60.312097829214331
115,-60.269548609962541
116,-60.23555698695295
117,-60.211606785277993
118,-60.195568961577607
119,-60.190418504610221
120,-60.195568961577607
121,-60.211606785277993
122,-60.23555698695295
123,-60.269548609962541
124,-60.312097829214331
125,-60.362804680666464
126,-60.417590075129759
127,-60.477404606260244
128,-60.53953511693787
129,-60.602399766587112
130,-60.660870241909542
131,-60.715145417876236
132,-60.762131996420791
133,-60.800360597053832
134,-60.825349150442847
135,-60.838525396678705
136,-60.838525396678705
137,-60.825349150442847
138,-60.800360597053832
139,-60.762131996420791
140,-60.715145417876236
141,-60.660870241909542
142,-60.602399766587112
143,-60.53953511693787
144,-60.477404606260244
145,-60.417590075129759
146,-60.362804680666464
147,-60.312097829214331
148,-60.269548609962541
149,-60.23555698695295
150,-60.211606785277993
151,-60.195568961577607
152,-60.190418504610221
153,-60.195568961577607
