tick,angle,x,y,vx,vy,horizontal_bps,vertical_bps
1,0.0,0.35105434327158036,-3.4750834322008197,0.35105434327158036,-3.4750834322008197,7.021086865431608,-69.50166864401639
2,0.0,1.0100100832673071,-6.557747079399027,0.6589557399957269,-3.0826636471982067,13.179114799914537,-61.65327294396413
3,0.0,1.9388236057757662,-9.294296469488597,0.928813522508459,-2.7365493900895697,18.576270450169183,-54.73098780179139
4,0.0,3.1039575549399427,-11.725573078866903,1.1651339491641766,-2.431276609378307,23.30267898328353,-48.62553218756614
5,0.0,4.475848923723616,-13.88759909041752,1.3718913687836727,-2.1620260115506182,27.437827375673454,-43.24052023101237
6,0.0,6.028439911404836,-15.812146070062125,1.5525909876812198,-1.9245469796446042,31.051819753624397,-38.49093959289208
7,0.0,7.738764141571257,-17.527236539489028,1.7103242301664212,-1.715090469426902,34.20648460332843,-34.30180938853804
8,0.0,9.586581708062113,-19.057586363308356,1.847817566490857,-1.5303498238193296,36.95635132981714,-30.60699647638659
9,0.0,11.5540572871432,-20.424994934530524,1.967475579081088,-1.3674085712221673,39.34951158162176,-27.348171424443347
10,-90.0,13.501858129196787,-21.843455361935376,1.9478008420535864,-1.4184604274048516,38.95601684107173,-28.36920854809703
11,-59.0,15.465227869523025,-23.257798331263043,1.963369740326238,-1.4143429693276652,39.26739480652476,-28.286859386553303
12,-90.0,17.408963931170153,-24.722254469706485,1.9437360616471286,-1.4644561384434422,38.874721232942576,-29.289122768868843
13,-90.0,19.333262650737723,-26.23582151483922,1.924298719567569,-1.5135670451327365,38.48597439135138,-30.27134090265473
14,0.0,21.374959226498756,-27.588427674971715,2.041696575761034,-1.3526061601324966,40.83393151522068,-27.05212320264993
15,-90.0,23.396238855973316,-28.992381739226357,2.0212796294745594,-1.4039540642546406,40.42559258949119,-28.079081285092812
16,-90.0,25.397305708429556,-30.446656750500082,2.0010668524562387,-1.4542750112737255,40.021337049124774,-29.08550022547451
17,-90.0,27.378361911444895,-31.950246290812306,1.981056203015337,-1.5035895403122246,39.62112406030674,-30.071790806244493
18,0.0,29.475359400672428,-33.29405229152184,2.096997489227534,-1.34380600070953,41.93994978455068,-26.8761200141906
19,-90.0,31.551386935006214,-34.68938219937412,2.076027534333785,-1.3953299078522838,41.520550686675705,-27.90659815704568
20,-90.0,33.6066542137952,-36.135205537209046,2.0552672787889885,-1.445823337834923,41.10534557577977,-28.916466756698462
21,-90.0,35.641368839396854,-37.63051243739004,2.0347146256016546,-1.495306900180995,40.694292512033094,-29.9061380036199
22,0.0,37.79075018425377,-38.96701314936164,2.149381344856914,-1.3365007119716046,42.987626897138284,-26.73001423943209
23,-90.0,39.91863773616021,-40.35518387411142,2.1278875519064426,-1.3881707247497794,42.557751038128856,-27.763414494995587
24,-90.0,42.0252464328407,-41.793991212369335,2.106608696680495,-1.438807338257918,42.132173933609906,-28.776146765158362
25,-90.0,44.11078906264458,-43.28242243283105,2.0855426298038764,-1.4884312204617107,41.71085259607753,-29.768624409234214
26,0.0,46.30987750907754,-44.612858795172215,2.1990884464329574,-1.330436362341167,43.98176892865915,-26.608727246823342
27,-90.0,48.486975092018305,-45.9950864571685,2.1770975829407697,-1.3822276619962823,43.54195165881539,-27.644553239925646
28,-90.0,50.64230171989209,-47.428069593814634,2.1553266278737824,-1.432983136646136,43.106532557475646,-28.659662732922722
29,-90.0,52.77607510204193,-48.910793096585714,2.1337733821498412,-1.4827235027710766,42.67546764299682,-29.65447005542153
30,0.0,55.022403436106224,-50.23619525182576,2.2463283340642923,-1.3254021552400481,44.92656668128585,-26.50804310480096
31,-90.0,57.24626850825253,-51.61348939076693,2.223865072146306,-1.377294138941166,44.47730144292612,-27.54588277882332
32,-90.0,59.4478949508858,-53.04163767472495,2.201626442633273,-1.4281482839580224,44.03252885266546,-28.56296567916045
33,-90.0,61.627505150089085,-54.51962302176946,2.179610199203286,-1.4779853470445077,43.59220398406572,-29.559706940890152
34,0.0,63.918789763794116,-55.84084612357734,2.2912846137050322,-1.3212231018078784,45.825692274100646,-26.424462036157568
35,-90.0,66.18716155321349,-57.21404479007527,2.268371789419375,-1.3731986664979305,45.367435788387496,-27.463973329958613
36,-90.0,68.43284964637155,-58.63817951096081,2.2456880931580603,-1.4241347208855368,44.913761863161206,-28.482694417710736
37,-90.0,70.65608088001458,-60.11223156611773,2.2232312336430304,-1.4740520551569192,44.46462467286061,-29.481041103138384
38,-90.0,72.85707982252357,-61.6352026098127,2.2009989425089853,-1.5229710436949715,44.019978850179704,-30.45942087389943
39,0.0,75.1735475179154,-62.99610309683852,2.3164676953918217,-1.3609004870258183,46.329353907836435,-27.218009740516365
40,-90.0,77.46685055844486,-64.40818560160682,2.293303040529461,-1.4120825047682979,45.86606081058922,-28.24165009536596
