tick,angle
0,-38.73919029421134
1,-37.323973369771863
2,-35.552571197858775
3,-29.891955258175223
4,-24.583856884459436
5,-20.087506799271793
6,-16.883685311179491
7,-15.514136562025811
8,-14.806448352525535
9,-14.054628510733906
10,-13.811892783350999
11,-13.721661198935479
12,-13.670375716066005
13,-13.675034144937158
14,-13.694858767094416
15,-13.742739922537169
16,-13.843459233025996
17,-13.922605868560936
18,-13.930560511954113
19,-13.976838075873218
20,-14.091459709834183
21,-14.225330808621692
22,-14.32863734551799
23,-14.432326091083397
24,-14.590212735986427
25,-14.774348792404311
26,-14.940369266791279
27,-15.126051644324889
28,-15.283612882451266
29,-15.423587300817147
30,-15.630821566013566
31,-15.878564365983223
32,-16.122716460488363
33,-16.564202579352298
34,-17.086751415452227
35,-17.704284553526378
36,-18.723071910824103
37,-19.996103767727448
38,-20.751964880089162
39,-20.70016246954124
40,-20.621713169582563
41,-20.881405317142807
42,-20.780743531036691
43,-20.823965756471054
44,-20.911390575128365
45,-20.932619209025546
46,-20.556927049605292
47,-20.376019154253783
48,-21.239994287136696
49,-22.124170417828722
50,-22.580924157645597
51,-22.847321095686667
52,-23.074668078277242
53,-23.286151522894755
54,-23.525540847943319
55,-23.830085767994433
56,-24.098144519508011
57,-24.129979725653669
58,-24.559048128020791
59,-24.919342168379799
60,-25.2333723551655
61,-25.837224192518519
62,-26.09217650108409
63,-25.846501446918069
64,-25.511899982714382
65,-26.022946497565812
66,-26.755308260452729
67,-26.895324329323685
68,-27.22104557548149
69,-27.90123172104029
70,-29.243302954635446
71,-30.101682618223968
72,-29.431248843870939
73,-27.626268423602944
74,-25.88370001167678
75,-25.876077592362009
76,-27.660027172872461
77,-29.003797025898656
78,-29.741887038252493
79,-30.061803095312229
80,-29.985645397988549
81,-30.156280158865066
82,-30.900481415181304
83,-31.665776788706637
84,-32.900702552034872
85,-33.389099492628496
86,-32.444512073758752
87,-31.636419118874166
88,-31.729741135268362
89,-31.881923547405329
90,-31.678964964107088
91,-30.845667755155425
92,-30.366552621211277
93,-30.789325727773338
94,-31.616303742829899
95,-32.424771123947373
96,-32.634976806382824
97,-31.375625878374287
98,-29.471319623987505
99,-27.994494777587754
100,-26.778846240230536
101,-25.259389924040491
102,-23.24091382562618
103,-20.896631392768626
104,-18.228130033566714
105,-15.600932215184031
106,-13.117439739847043
107,-10.832708381814541
108,-7.2310361443078364
109,-3.4997275622062887
110,-1.6826952459729654
111,-0.83062361321164246
112,-0.3774198013157104
113,-0.14670415674147819
114,-0.039144374407939608
115,-0.0033136039512839943
116,5.4770811541235851
117,13.693915983182144
118,26.033373075584709
119,37.222090306475195
120,50.034493853662596
121,55.17695597775009
122,55.057333400155102
123,52.988078687926276
124,51.110130022119861
125,49.502234501672724
126,47.883207711824909
127,46.399831901167715
128,45.013771406088303
129,43.742153181068105
130,42.437321168326349
131,41.208209525892173
132,39.966919042186838
133,38.80536944726768
134,37.854159379902541
135,37.006270201266567
136,35.925708474032334
137,35.017037388285367
138,34.291157739865483
139,33.465408998391418
140,32.640450537090345
141,31.910906682424322
142,31.154487858191146
143,30.375388141665667
144,29.611425156036699
145,28.911674657758432
146,28.272837328181808
147,27.585366844000891
148,26.843212781455211
149,26.137544434669916
150,25.42523469282574
151,24.703220844048907
152,24.051424864428089
153,23.39325487780718
154,22.725648021134727
155,22.101129207826595
156,21.510228401802756
157,20.817577357474406
158,20.04277357502464
159,19.185967988288965
160,18.349332118014161
161,17.523274469268777
162,16.700822138070521
163,15.916260553807048
164,15.15453579013926
165,14.3523842348377
166,13.470773113447212
167,12.462596093108427
168,11.184090622069679
169,9.5547693521707817
170,7.7328179079313877
171,5.8626751441522087
172,3.6459068677251003
173,1.4456251915321168
174,0.22282246763477614
175,0.24832481877400875
176,0.34143865802175455
177,0.37290914905084743
178,0.40210237839820206
