field,value
objectiveMode,horizontal_speed
objective,26.064763623168492
dropC,10
diffL1Lambda,0
period,357
n1_negative_constant,10
n12_negative_transition_linear,2
n2_negative_bezier,246
n3_hold_zero_after_negative,13
n34_positive_ramp_linear,3
nPosHold_positive_hold,5
n4_positive_bezier_to_zero,70
n5_hold_zero_end,8
negative_constant_angle,-89.5
neg_control_0,-32.849537989130418
neg_control_1,-40.132451846989561
neg_control_2,-22.468576627022838
neg_control_3,-44.732571427841201
neg_control_4,-49.261876413188439
neg_control_5,-22.776456702908604
neg_control_6,-66.270876819591834
neg_control_7,-38.24817494492914
pos_control_0,78.32703324587365
pos_control_1,45.310139453314278
pos_control_2,42.844971931841442
pos_control_3,16.969997772078219
pos_control_4,32.377854556287126
pos_control_5,1.4634826880848515
pos_control_6,14.955641228893784
pos_control_7,0
avgHorizontal,32.993196614258494
dy,6.0785527389750627e-05
dx,588.92855956451422
climbRate,3.405351674495833e-06
dropPenalty,6.9284329910900011
l1Penalty,0
meanAbsDelta,1.0211535105120757
rmsDelta,6.1061274919976745
maxAbsDelta,89.5
minAngle,-89.5
maxAngle,78.32703324587365
cyclesUsed,10
converged,1
