tick,angle
0,-0.01
1,-0.016496574768713336
2,-0.048730303653779894
3,-0.1125438990133095
4,-0.20741730006393488
5,-0.33116540013741541
6,-0.48124920935516974
7,-0.65519430656666311
8,-0.85072327748679832
9,-1.0657866254076194
10,-1.2985564570931589
11,-1.5474073191904583
12,-1.8108938270422661
13,-2.087728886204367
14,-2.3767638894057823
15,-2.6769712508590811
16,-2.987429221434545
17,-3.3073087680266999
18,-3.6358622579588395
19,-3.972413694655148
20,-4.3163502752897642
21,-4.667115070407772
22,-5.0242006567093727
23,-5.3871435585108607
24,-5.7555193781037364
25,-6.1289385135869772
26,-6.5070423799860988
27,-6.8895000622658271
28,-7.2760053400533016
29,-7.6662740345080795
30,-8.0600416334169402
31,-8.4570611589489353
32,-8.8571012468302399
33,-9.259944410281534
34,-9.6653854662900898
35,-10.073230104743214
36,-10.483293582732859
37,-10.89539953059279
38,-11.309378856195494
39,-11.725068736170293
40,-12.142311685249888
41,-12.560954694823872
42,-12.98084843293964
43,-13.401846499597555
44,-13.823804731801504
45,-14.246580552318978
46,-14.670032358974233
47,-15.094018949158476
48,-15.518398977060613
49,-15.943030439526463
50,-16.367770189005906
51,-16.792473469458496
52,-17.216993474712528
53,-17.641180925919961
54,-18.064883667721858
55,-18.487946280245168
56,-18.91020970705528
57,-19.331510896979459
58,-19.751682459026185
59,-20.170552330390027
60,-20.587943456068679
61,-21.003673480309693
62,-21.417554449258557
63,-21.829392525258257
64,-22.238987712648083
65,-22.64613359540478
66,-23.050617087332753
67,-23.452218195563237
68,-23.850709798566534
69,-24.245857440026068
70,-24.637419139982644
71,-25.025145225782055
72,-25.408778184928014
73,-25.788052543374786
74,-26.162694771957941
75,-26.53242322580769
76,-26.896948121759202
77,-27.255971558674297
78,-27.609187588680676
79,-27.956282346087839
80,-28.296934244431846
81,-28.630814251438309
82,-28.957586256157455
83,-29.276907542087194
84,-29.588429385126346
85,-29.891797796676368
86,-30.186654437553734
87,-30.472637731215677
88,-30.749384212253698
89,-31.01653015111528
90,-31.27371350495029
91,-31.520576254342174
92,-31.756767197180341
93,-31.981945285593905
94,-32.195783610719225
95,-32.397974161713186
96,-32.588233513068033
97,-32.766309630093382
98,-32.931990025124925
99,-33.085111552888293
100,-33.225572203995441
101,-33.353345345702394
102,-33.468496975768929
103,-33.571206707476641
104,-33.661793402557215
105,-33.74074663341095
106,-33.808765508427669
107,-33.866806871044673
108,-33.916145534700462
109,-33.958450116571399
110,-33.995879295973864
111,-34.031205119133865
112,-34.067972568004755
113,-34.110708428747969
114,-34.165198223024433
115,-34.238858746248297
116,-34.341247553505312
117,-34.484773018705155
118,-34.6857057438691
119,-34.965656318376581
120,-35.353800249071639
121,-35.890350434470648
122,-36.632219425311604
123,-37.662770651805324
124,-39.109830464106494
125,-41.182220432891519
126,-44.254309777801019
127,-49.105993352545156
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,12.000390571032568
143,24.000781142065136
144,36.001171713097705
145,48.001562284130273
146,60.001952855162841
147,60.001952855042624
148,57.375279618680253
149,55.071192513371471
150,53.012064122333449
151,51.146850320915085
152,49.439880339400545
153,47.865076310415553
154,46.402697706520335
155,45.037381096420475
156,43.756896179562105
157,42.551322122773492
158,41.412482723482903
159,40.333547472018289
160,39.308742609566011
161,38.333137259700223
162,37.402482100567759
163,36.513085622757842
164,35.661717802621425
165,34.845534118768377
166,34.062014900617186
167,33.308916390554508
168,32.58423087269307
169,31.886153896703512
170,31.213057114607391
171,30.56346559949916
172,29.936038775740446
173,29.329554281861299
174,28.74289423440155
175,28.175033471357374
176,27.625029436073739
177,27.092013432225059
178,26.575183029098824
179,26.073795437774855
180,25.58716171138455
181,25.114641647143142
182,24.65563928966418
183,24.209598951508401
184,23.77600167942051
185,23.354362107571962
186,22.944225647089709
187,22.545165969145746
188,22.156782744855196
189,21.778699611067196
190,21.410562334982657
191,21.052037154051455
192,20.702809271698509
193,20.362581491464937
194,20.031072973818283
195,19.708018102568985
196,19.393165449860675
197,19.08627682912946
198,18.787126426807529
199,18.495500005318345
200,18.211194170624701
201,17.93401569705377
202,17.663780905294843
203,17.400315087663749
204,17.143451976270601
205,16.893033251605679
206,16.648908085401899
207,16.410932717657179
208,16.178970062655765
209,15.952889342508719
210,15.732565746094881
211,15.517880110586704
212,15.308718624448577
213,15.104972549485483
214,14.906537961129734
215,14.713315505319319
216,14.525210170193658
